species,plot,abund,log_seedmass.exp,log_seedmass
Carex appressa,7,0.031496062992126,-0.0757207139381184,-0.0757207139381184
Carex appressa,9,0.0135004821600771,-0.0757207139381184,-0.0757207139381184
Carex longebrachiata,1,0.0124416796267496,0.139879086401236,0.139879086401236
Carex longebrachiata,4,0.0452616690240453,0.139879086401236,0.139879086401236
Carex polyantha,2,0.227963525835866,0.0969100130080564,0.0969100130080564
Cassinia aculeata,9,0.0578592092574735,-1.15490195998574,-1.15490195998574
Cassinia aculeata,10,0.0360144057623049,-1.15490195998574,-1.15490195998574
Cassinia aculeata,14,0.0183180682764363,-1.15490195998574,-1.15490195998574
Cassinia trinerva,4,0.0188590287600189,-0.744727494896694,-0.744727494896694
Casuarina cunninghamiana,4,0.339462517680339,-0.200659450546418,-0.200659450546418
Casuarina cunninghamiana,5,0.170940170940171,-0.200659450546418,-0.200659450546418
Casuarina cunninghamiana,6,0.323467230443975,-0.200659450546418,-0.200659450546418
Casuarina cunninghamiana,11,0.118549511854951,-0.200659450546418,-0.200659450546418
Casuarina cunninghamiana,12,0.0854609550261724,-0.200659450546418,-0.200659450546418
Casuarina glauca,13,0.118692660550459,0.0569048513364726,0.0569048513364726
Centella asiatica,13,0.0194954128440367,0.176091259055681,0.176091259055681
Ceratopetalum apetalum,1,0.0902021772939347,1.23274206272074,1.23274206272074
Commelina cyanea,11,0.0418410041841004,1.24303804868629,1.24303804868629
Commelina cyanea,12,0.132464480290567,1.24303804868629,1.24303804868629
Commersonia fraseri,15,0.178571428571429,0.782472624166286,0.782472624166286
Conyza parva,12,0.0170921910052345,-1.15490195998574,-1.15490195998574
Coprosma quadrifida,2,0.0790273556231003,1.02407498730743,1.02407498730743
Coprosma quadrifida,3,0.0214592274678112,1.02407498730743,1.02407498730743
Coprosma quadrifida,8,0.0808761583824768,1.02407498730743,1.02407498730743
Coprosma quadrifida,9,0.0742526518804243,1.02407498730743,1.02407498730743
Coprosma quadrifida,10,0.138055222088836,1.02407498730743,1.02407498730743
Cryptocarya glaucescens,1,0.0528771384136858,2.51053160584908,2.51053160584908
Dichondra repens,4,0.016030174446016,0.161368002234975,0.161368002234975
Dichondra repens,5,0.0102564102564103,0.161368002234975,0.161368002234975
Dichondra repens,13,0.018348623853211,0.161368002234975,0.161368002234975
Dodonaea viscosa subsp. cuneata,14,0.0291423813488759,0.691081492122968,0.691081492122968
Doryphora sassafras,1,0.0762052877138414,1.04139268515823,1.04139268515823
Duboisia myoporoides,13,0.0498853211009174,0.181843587944773,0.181843587944773
Ehrharta erecta,7,0.031496062992126,0.250420002308894,0.250420002308894
Entolasia stricta,5,0.011965811965812,0.214843848047698,0.214843848047698
Eucalyptus amplifolia,11,0.0697350069735007,0.406540180433955,0.406540180433955
Eucalyptus camphora subsp. humeana,8,0.320134793597304,-0.468521082957745,-0.468521082957745
Eucalyptus camphora subsp. humeana,9,0.0135004821600771,-0.468521082957745,-0.468521082957745
