species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Melicytus dentatus,1,0.173389950460014,0.727695968794661,0.782482800310845,-0.0547868315161845,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.782482800310845,0.782482800310845,0.727695968794661,0.727695968794661,0,0
Notelaea longifolia,1,0.0276497695852535,0.932528819929979,0.784722197667837,0.147806622262143,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.932528819929979,0.932528819929979,0,0
Notelaea microcarpa var. microcarpa,1,0.27536231884058,0.799199147271817,0.862414494972361,-0.0632153477005442,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.862414494972361,0.862414494972361,0.799199147271817,0.799199147271817,0,0
Notelaea microcarpa var. velutina,1,0.0271844660194175,0.799199147271817,0.81978588087157,-0.0205867335997524,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81978588087157,0.81978588087157,0.799199147271817,0.799199147271817,0,0
Pittosporum spinescens,1,0.0134328358208955,0.853404944911851,0.792955826999264,0.0604491179125868,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.853404944911851,0.853404944911851,0,0
Pomaderris aspera,1,0.337765957446808,0.752529325674422,0.779496384767502,-0.0269670590930797,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.779496384767502,0.779496384767502,0.752529325674422,0.752529325674422,0,0
Prostanthera lasianthos,1,1,0.761577310586391,0.761577310586391,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.761577310586391,0.761577310586391,0.761577310586391,0.761577310586391,0,0
Rubus fruticosus agg.,1,0.0212014134275618,0.59152345684681,0.693171361607248,-0.101647904760438,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.693171361607248,0.693171361607248,0.59152345684681,0.59152345684681,1,0
Solanum mauritianum,1,0.104854368932039,0.670142991457793,0.81978588087157,-0.149642889413776,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.81978588087157,0.81978588087157,0.670142991457793,0.670142991457793,0,0
Syzygium oleosum,1,0.0614439324116744,0.762451277131857,0.784722197667837,-0.0222709205359796,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.762451277131857,0.762451277131857,0,0
Tree (Sportsmans 57),1,0.0921658986175115,0.782561215496909,0.784722197667837,-0.00216098217092753,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.782561215496909,0.782561215496909,0,0
Trema tomentosa var. aspera,1,0.00921658986175115,0.575119233724625,0.784722197667837,-0.209602963943212,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.784722197667837,0.784722197667837,0.575119233724625,0.575119233724625,0,0
Tristaniopsis laurina,1,0.126865671641791,0.808431475760314,0.792955826999264,0.01547564876105,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.808431475760314,0.808431475760314,0,0
Trophis scandens,1,0.0754716981132075,0.811713208590325,0.715096810005375,0.0966163985849499,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.715096810005375,0.715096810005375,0.811713208590325,0.811713208590325,0,0
Waterhousea floribunda,1,0.104477611940299,0.736854242031625,0.792955826999265,-0.05610158496764,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.792955826999264,0.792955826999264,0.736854242031625,0.736854242031625,0,0
