species,plot,abund,tval,tp,ts,tvalNA
Leptospermum brevipes,6,0.0592401802962009,0.602059991327962,0.841136583418707,0.602059991327963,0.602059991327962
Leptospermum brevipes,8,0.02215711408167,0.602059991327962,0.625342052468962,0.602059991327963,0.602059991327962
Leptospermum brevipes,8,0.02215711408167,0.602059991327962,0.625342052468962,0.602059991327963,0.602059991327962
Leptospermum brevipes,8,0.02215711408167,0.602059991327962,0.625342052468962,0.602059991327963,0.602059991327962
Leptospermum brevipes,8,0.02215711408167,0.602059991327962,0.625342052468962,0.602059991327963,0.602059991327962
Leptospermum brevipes,8,0.02215711408167,0.602059991327962,0.625342052468962,0.602059991327963,0.602059991327962
Leptospermum brevipes,10,0.0943396226415094,0.602059991327962,0.622746963010185,0.602059991327963,0.602059991327962
Leptospermum brevipes,10,0.0943396226415094,0.602059991327962,0.622746963010185,0.602059991327963,0.602059991327962
Leptospermum brevipes,10,0.0943396226415094,0.602059991327962,0.622746963010185,0.602059991327963,0.602059991327962
Leptospermum brevipes,10,0.0943396226415094,0.602059991327962,0.622746963010185,0.602059991327963,0.602059991327962
Leptospermum brevipes,10,0.0943396226415094,0.602059991327962,0.622746963010185,0.602059991327963,0.602059991327962
Leptospermum brevipes,14,0.0292665726375176,0.602059991327962,1.16054961614014,0.602059991327963,0.602059991327962
Leptospermum brevipes,14,0.0292665726375176,0.602059991327962,1.16054961614014,0.602059991327963,0.602059991327962
Leptospermum brevipes,14,0.0292665726375176,0.602059991327962,1.16054961614014,0.602059991327963,0.602059991327962
Leptospermum brevipes,14,0.0292665726375176,0.602059991327962,1.16054961614014,0.602059991327963,0.602059991327962
Leptospermum brevipes,14,0.0292665726375176,0.602059991327962,1.16054961614014,0.602059991327963,0.602059991327962
Ligustrum sinense,12,0.0100446428571429,0.477121254719662,0.575774184378803,0.477121254719662,0.477121254719662
Ligustrum sinense,12,0.0100446428571429,0.477121254719662,0.575774184378803,0.477121254719662,0.477121254719662
Ligustrum sinense,15,0.0366756393001346,0.477121254719662,0.623029452549486,0.477121254719662,0.477121254719662
Ligustrum sinense,15,0.0366756393001346,0.477121254719662,0.623029452549486,0.477121254719662,0.477121254719662
Lomandra hystrix,12,0.0332589285714286,0.113943352306837,0.575774184378803,0.113943352306837,0.113943352306837
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
Lomandra longifolia,1,0.0128783000643915,0,0.71485249122898,0,0
