species,Nplots,mean.abund,ts,betaT,alphaT,Rs,slopeN,b.inter,bs,bs.se,bs.p,u.inter,us,us.se,us.p,min.tp,max.tp,min.tval,max.tval,low.bound,hi.bound
Dodonaea viscosa subsp. cuneata,1,0.0261976047904192,1.10822665637493,0.94575162781106,0.162475028563869,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.94575162781106,0.94575162781106,1.10822665637493,1.10822665637493,0,0
Doodia aspera,4,0.0639183704846897,1.02938377768521,1.0454321578377,-0.0160483801524884,0.187582553811884,4,1.02938377768521,-3.3991475849182e-16,4.41767740679108e-15,0.945672568465256,1.02938377768521,0,0,NA,0.874589561258425,1.06217211507031,1.02938377768521,1.02938377768521,0,0
Doryphora sassafras,1,0.0638852672750978,1.04178731897175,1.05507190276954,-0.0132845837977835,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.05507190276954,1.05507190276954,1.04178731897175,1.04178731897175,0,0
Duboisia myoporoides,1,0.0423357664233577,1.34380233316166,1.15246521031611,0.191337122845541,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.15246521031611,1.15246521031611,1.34380233316166,1.34380233316166,0,0
Ehrharta erecta,1,0.0380952380952381,1.07773117965239,0.865026256273222,0.21270492337917,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.865026256273222,0.865026256273222,1.07773117965239,1.07773117965239,0,0
Entolasia stricta,1,0.0117548278757347,1.56395546499581,0.99616276066472,0.567792704331092,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.996162760664721,0.996162760664721,1.56395546499581,1.56395546499581,0,0
Eucalyptus amplifolia,1,0.0684931506849315,0.690196080028514,1.25911554198413,-0.568919461955621,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1.25911554198413,1.25911554198413,0.690196080028514,0.690196080028514,0,1
Eucalyptus camphora subsp. humeana,3,0.118932295782089,0.934498451243568,1.14896370108888,-0.214465249845316,0.0838092382375113,3,0.934498451243568,-1.50250852108513e-16,5.91823162171597e-16,0.841720309494324,0.93449845124356,7.39338689891149e-15,1.5657165153347e-15,0.13285572519454,1.09066412871953,1.17447336695704,0.934498451243568,0.934498451243568,0,0
Eucalyptus cypellocarpa,1,0.0706401766004415,0.642464520242121,0.874589561258425,-0.232125041016303,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.874589561258425,0.874589561258425,0.642464520242121,0.642464520242121,0,0
Eucalyptus elata,1,0.0285474391267842,0.806858029518817,0.996162760664721,-0.189304731145903,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.996162760664721,0.996162760664721,0.806858029518817,0.806858029518817,0,0
