species,plot,abund,log_SLA.exp,log_SLA
Rubus parvifolius,8,0.00775694893341952,1.36379994547911,1.36379994547911
Rubus parvifolius,9,0.011744966442953,1.36379994547911,1.36379994547911
Sida rhombifolia,11,0.010958904109589,1.3727279408856,1.3727279408856
Sida rhombifolia,12,0.013697066544915,1.3727279408856,1.3727279408856
Solanum americanum,12,0.013697066544915,1.17609125905568,1.17609125905568
Solanum mauritianum,12,0.0308183997260587,1.30384377488865,1.30384377488865
Stellaria flaccida,4,0.0105960264900662,1.68502478510571,1.68502478510571
Stellaria flaccida,8,0.0355526826115061,1.68502478510571,1.68502478510571
Stephania japonica,13,0.00681265206812652,1.41664050733828,1.41664050733828
Syzygium oleosum,13,0.0389294403892944,1.00302947055362,1.00302947055362
Tagetes minuta,11,0.0089041095890411,1.7001843296222,1.7001843296222
Tradescantia fluminensis,15,0.0107474352711285,1.66661156841903,1.66661156841903
Trema tomentosa var. aspera,13,0.00583941605839416,1.68033551341456,1.68033551341456
Tristaniopsis laurina,1,0.110821382007823,0.873901597864461,0.873901597864461
Tristaniopsis laurina,2,0.528169014084507,0.873901597864461,0.873901597864461
Tristaniopsis laurina,5,0.178001679261125,0.873901597864461,0.873901597864461
Trophis scandens,15,0.0195407914020518,1.08421868673924,1.08421868673924
Urtica incisa,11,0.0424657534246575,1.60799085854717,1.60799085854717
Urtica incisa,12,0.0148384887569912,1.60799085854717,1.60799085854717
Viola hederacea,9,0.0100671140939597,1.36511343162758,1.36511343162758
Waterhousea floribunda,1,0.091264667535854,1.13289976994448,1.13289976994448
Xanthium occidentale,11,0.036986301369863,1.68708284460437,1.68708284460437
