species,plot,abund,log_SLA.exp,log_SLA
Eucalyptus tereticornis,12,0.189476087204657,0.816241299991783,0.816241299991783
Eucalyptus tereticornis,15,0.136785539814362,0.816241299991783,0.816241299991783
Eucalyptus viminalis,3,0.191292875989446,0.838219221907626,0.838219221907626
Eucalyptus viminalis,9,0.0285234899328859,0.838219221907626,0.838219221907626
Eucalyptus viminalis,14,0.26497005988024,0.838219221907626,0.838219221907626
Eustrephus latifolius,1,0.0117340286831812,1.34321159017975,1.34321159017975
Glochidion ferdinandi var. ferdinandi,15,0.0390815828041036,1.10856502373283,1.10856502373283
Grevillea robusta,13,0.00778588807785888,0.700703717145019,0.700703717145019
Guioa semiglauca,1,0.00782268578878748,1.12090281761453,1.12090281761453
Gymnostachys anceps,1,0.00782268578878748,0.843855422623161,0.843855422623161
Gymnostachys anceps,15,0.0117244748412311,0.843855422623161,0.843855422623161
Hovea asperifolia subsp. asperifolia,14,0.101047904191617,0.99211148778695,0.99211148778695
Imperata cylindrica,11,0.0232876712328767,1.20709554041922,1.20709554041922
Imperata cylindrica,12,0.087889510329871,1.20709554041922,1.20709554041922
Imperata cylindrica,13,0.0102189781021898,1.20709554041922,1.20709554041922
Lepidosperma laterale,5,0.0302267002518892,0.88309335857569,0.88309335857569
Lepidosperma laterale,6,0.0243128964059197,0.88309335857569,0.88309335857569
Leptospermum brevipes,3,0.100923482849604,0.955206537541942,0.955206537541942
Leptospermum brevipes,6,0.291754756871036,0.955206537541942,0.955206537541942
Leptospermum brevipes,8,0.0782159017453135,0.955206537541942,0.955206537541942
Leptospermum brevipes,10,0.35672514619883,0.955206537541942,0.955206537541942
Leptospermum brevipes,14,0.062125748502994,0.955206537541942,0.955206537541942
Ligustrum sinense,12,0.0256819997717156,1.01953168453126,1.01953168453126
Ligustrum sinense,15,0.0532486565705911,1.01953168453126,1.01953168453126
Lomandra longifolia,1,0.0260756192959583,1.1102529173534,1.1102529173534
Lomandra longifolia,2,0.00704225352112676,1.1102529173534,1.1102529173534
Lomandra longifolia,3,0.0910290237467019,1.1102529173534,1.1102529173534
Lomandra longifolia,4,0.045916114790287,1.1102529173534,1.1102529173534
Lomandra longifolia,5,0.0243492863140218,1.1102529173534,1.1102529173534
Lomandra longifolia,6,0.0697674418604651,1.1102529173534,1.1102529173534
Lomandra longifolia,7,0.0952380952380952,1.1102529173534,1.1102529173534
Lomandra longifolia,11,0.119178082191781,1.1102529173534,1.1102529173534
Lomandra longifolia,13,0.0437956204379562,1.1102529173534,1.1102529173534
Lomandra longifolia,15,0.046409379579873,1.1102529173534,1.1102529173534
Lomatia myricoides,4,0.0167770419426049,1.01367969729119,1.01367969729119
Lomatia myricoides,9,0.0922818791946309,1.01367969729119,1.01367969729119
Lomatia myricoides,14,0.0419161676646707,1.01367969729119,1.01367969729119
Lophostemon suaveolens,13,0.152798053527981,0.863322860120456,0.863322860120456
Melaleuca quinquenervia,13,0.0545012165450122,0.900913067737669,0.900913067737669
Melicytus dentatus,4,0.108167770419426,1.22115332195471,1.22115332195471
Melicytus dentatus,6,0.0126849894291755,1.22115332195471,1.22115332195471
Melicytus dentatus,8,0.0252100840336134,1.22115332195471,1.22115332195471
Melicytus dentatus,12,0.0741924437849561,1.22115332195471,1.22115332195471
Microlaena stipoides,4,0.0653421633554084,1.55954755558043,1.55954755558043
Microlaena stipoides,5,0.251889168765743,1.55954755558043,1.55954755558043
Microlaena stipoides,6,0.0200845665961945,1.55954755558043,1.55954755558043
