species,maxheight,seedmass,SLA,WD
Phyllanthus virgatus,0.5,0.36,32.6,NA
Phytolacca octandra,2,4.79,25.25,NA
Pimelea axiflora subsp. axiflora,3,2.51,NA,NA
Pittosporum revolutum,3,17.11,17.66,NA
Pittosporum spinescens,8,7.54,18.44,0.7283
Plantago debilis,0.2,0.29,21.96,NA
Plantago major,0.2,0.2,29.93,NA
Plantago sp. (Jacobs),NA,NA,NA,NA
Plantago sp. (Snowy Ck),NA,NA,NA,NA
Platylobium formosum subsp. formosum,2.5,9.5,14.49,NA
Plectranthus parviflorus,0.7,0.42,34.4,NA
Poa labillardierei var. labillardierei,1.2,0.3,13.59,NA
Poa meionectes,0.7,NA,10.72,NA
Poa pratensis,0.9,0.25,26,NA
Poa sieberiana,1,0.27,12.62,NA
Polyscias sambucifolia subsp. decomposita,5,4.02,10.25,NA
Pomaderris aspera,4,0.56,13.42,0.566300386
Pomaderris cinerea,10,NA,NA,NA
Pomaderris lanigera,5,1.29,8.61,NA
Pomaderris phylicifolia subsp. phylicifolia,2,0.84,NA,NA
Pratia purpurascens,0.2,0.2,60.87,NA
Prunella vulgaris,0.4,0.75,26.48,NA
Prunus cerasifera,15,430,34.92,NA
Pteridium esculentum,1.5,NA,9.64,NA
Pultenaea juniperina,3,5.45,6.45,NA
Ranunculus muricatus,0.5,11.59,NA,NA
Ranunculus repens,0.6,2.32,16.72,NA
Ranunculus sp. (Nariel),NA,NA,NA,NA
Rhytidosporum diosmoides,1.2,NA,NA,NA
Richardia brasiliensis,0.4,1.07,23.6,NA
Ripogonum album,NA,NA,11.94,NA
Rosa rubiginosa,3,15.2,22.56,NA
Rostraria cristata,0.4,0.2,8.7,NA
Rubus fruticosus agg.,3,2.89,22.17,0.3499
Rubus moluccanus var. trilobus,1.2,0.85,13.84,NA
Rubus parvifolius,0.6,0.33,23.11,NA
Rumex brownii,0.8,0.62,16.97,NA
Rytidosperma sp.,NA,NA,NA,NA
Salix fragilis,18,0.14,8.8,0.36
Sarcopetalum harveyanum,NA,10.88,18.05,NA
Sedge (Cataract 16),NA,NA,NA,NA
Senecio diaschides ,1,NA,NA,NA
Senecio linearifolius,1.5,0.24,18.27,NA
Senecio madagascariensis,0.6,0.26,18.28,NA
